index,EN,PT
2458,I loved you.,Amei-o.
2459,I made rice.,Eu fiz arroz.
2460,I made that.,Eu fiz aquilo.
2461,I missed it.,Perdi isso.
2462,I nailed it.,Está no papo.
2463,I need glue.,Eu preciso de cola.
2464,I need help.,Preciso de ajuda.
2465,I need mine.,Preciso do meu.
2466,I need mine.,Preciso da minha.
2467,I need more.,Preciso de mais.
2468,I need that.,Eu preciso disso.
2469,I never win.,Eu não ganho nunca.
2470,I often ski.,Eu esquio com frequência.
2471,I often ski.,Esquio com frequência.
2472,I often win.,Eu geralmente ganho.
2473,I often win.,Eu frequentemente ganho.
2474,I often win.,Eu muitas vezes ganho.
2475,I oppose it.,Eu me oponho a isso.
2476,I overslept.,Eu dormi demais.
2477,I overslept.,Dormi mais do que devia.
2478,I overslept.,Dormi demais.
2479,I pay taxes.,Eu pago os impostos.
2480,I pay taxes.,Pago os impostos.
2481,I read lips.,Leio lábios.
2482,I recovered.,Eu me recuperei.
2483,I regret it.,Eu me arrependo.
2484,I regret it.,Me arrependo.
2485,I said stop.,Eu disse pare.
2486,I said stop.,Eu disse para.
2487,I said that.,Eu disse isso.
2488,I saved Tom.,Eu salvei Tom.
2489,I saw a UFO.,Eu vi um óvni.
2490,I saw a UFO.,Eu vi um objeto voador não identificado.
2491,I saw a dog.,Eu vi um cachorro.
2492,I saw a dog.,Vi um cachorro.
2493,I sell cars.,Eu vendo carros.
2494,I should go.,Eu deveria ir embora.
2495,I surrender.,Eu me rendo.
2496,I surrender.,Me rendo.
2497,I talk fast.,Eu falo rápido.
2498,I talk fast.,Falo rápido.
2499,I trust Tom.,Eu confio em Tom.
2500,I trust you.,Confio em você.
2501,I walk fast.,Eu ando rápido.
2502,I want Mary.,Eu quero a Mary.
2503,I want Mary.,Quero a Mary.
2504,I want cash.,Quero dinheiro.
2505,I want cash.,Eu quero dinheiro.
2506,I want mine.,Eu quero a minha.
2507,I want mine.,Eu quero o meu.
2508,I want mine.,Quero o meu.
2509,I want mine.,Quero a minha.
2510,I want soup.,Eu quero sopa.
2511,I want soup.,Quero sopa.
2512,I want that.,Eu quero isso.
2513,I want that.,Quero isso.
2514,I want that.,Eu quero aquilo.
2515,I want that.,Quero aquilo.
2516,I want this.,Eu quero isso.
2517,I want this.,Quero isso.
2518,I want time.,Eu quero tempo.
2519,I want time.,Quero tempo!
2520,I was alone.,Eu estava sozinho.
2521,I was angry.,Eu estava bravo.
2522,I was awake.,Eu estava acordado.
2523,I was bored.,Eu estava entediado.
2524,I was bored.,Eu estava entediada.
2525,I was dizzy.,Eu estava tonto.
2526,I was drunk.,Eu estava bêbado.
2527,I was drunk.,Eu estava embriagado.
2528,I was fired.,Eu fui demitido.
2529,I was fired.,Despediram-me.
2530,I was happy.,Eu era feliz.
2531,I was hired.,Eu fui contratado.
2532,I was lucky.,Eu tive sorte.
2533,I was lucky.,Tive sorte.
2534,I was right.,Eu estava certo.
2535,I was right.,Eu tinha razão.
2536,I was there.,Eu estava lá.
2537,I was tired.,Eu estava cansado.
2538,I was upset.,Eu estava triste.
2539,I was wrong.,Eu me enganei.
2540,I was wrong.,Eu errei.
2541,I was wrong.,Eu estava errado.
2542,I washed it.,Eu o lavei.
2543,I went home.,Eu fui para casa.
2544,"I went, too.","Eu fui, também."
2545,"I went, too.",Também fui.
2546,I will help.,Eu vou ajudar.
2547,I will obey.,Eu vou obedecer.
2548,I will obey.,Eu irei obedecer.
2549,I will obey.,Obedecerei.
2550,I will stay.,Eu vou ficar.
2551,I will wait.,Eu vou esperar.
2552,I will wait.,Vou esperar.
2553,I will wait.,Eu irei esperar.
2554,I will wait.,Irei esperar.
2555,I will work.,Eu vou trabalhar.
2556,I will work.,Vou trabalhar.
2557,I won't cry.,Eu não vou chorar.
2558,I won't die.,Eu não vou morrer.
2559,I won't die.,Não vou morrer.
2560,I won't lie.,Eu não vou mentir.
2561,I won't lie.,Não vou mentir.
2562,I won't run.,Eu não vou correr.
2563,I work here.,Eu trabalho aqui.
2564,I'll cancel.,Cancelarei.
2565,I'll cancel.,Vou cancelar.
2566,I'll change.,Mudarei.
2567,I'll decide.,Decidirei.
2568,I'll fix it.,Irei consertá-lo.
2569,I'll get in.,Eu vou entrar.
2570,I'll get in.,Vou entrar.
2571,I'll get it.,Eu o pegarei.
2572,I'll get up.,Eu vou me levantar.
2573,I'll get up.,Vou me levantar.
2574,I'll manage.,Conseguirei.
2575,I'll try it.,Eu vou tentar.
2576,I'll try it.,Eu vou experimentar.
2577,I'm a baker.,Eu sou padeiro.
2578,I'm a baker.,Sou padeiro.
2579,I'm a guard.,Eu sou um guarda.
2580,I'm a klutz.,Eu sou um desastrado.
2581,I'm a klutz.,Sou um desastrado.
2582,I'm a pilot.,Sou piloto.
2583,I'm a vegan.,Eu sou vegano.
2584,I'm a vegan.,Eu sou vegana.
2585,I'm a vegan.,Sou vegano.
2586,I'm a vegan.,Sou vegana.
2587,I'm a woman.,Sou mulher.
2588,I'm a woman.,Eu sou mulher.
2589,I'm a woman.,Eu sou uma mulher.
2590,I'm adopted.,Eu sou adotado.
2591,I'm at home.,Estou em casa.
2592,I'm at work.,Estou no trabalho.
2593,I'm at work.,Eu estou no trabalho.
2594,I'm bipolar.,Sou bipolar.
2595,I'm blessed.,Sou abençoado.
2596,I'm certain.,Tenho certeza.
2597,I'm certain.,Estou seguro.
2598,I'm cooking.,Estou cozinhando.
2599,I'm correct.,Eu tenho razão.
2600,I'm curious.,Eu sou curioso.
2601,I'm curious.,Eu sou curiosa.
2602,I'm curious.,Quero saber.
2603,I'm dancing.,Eu estou dançando.
2604,I'm dieting.,Estou de dieta.
2605,I'm excited.,Estou excitado.
2606,I'm fasting.,Eu estou em jejum.
2607,I'm fasting.,Estou jejuando.
2608,I'm finicky.,Eu sou exigente.
2609,I'm furious.,Estou furioso.
2610,I'm furious.,Estou furiosa.
2611,I'm healthy.,Estou com a saúde em dia.
2612,I'm healthy.,Estou saudável.
2613,I'm in here.,Estou aqui dentro.
2614,I'm in pain.,Estou com dor.
2615,I'm jealous.,Eu sou ciumento.
2616,I'm jealous.,Sou ciumenta.
2617,I'm kidding.,Eu estou brincando.
2618,I'm leaving.,Estou indo.
2619,I'm married.,Eu sou casado.
2620,I'm married.,Eu sou casada.
2621,I'm married.,Sou casado.
2622,I'm nervous.,Estou nervoso.
2623,I'm nervous.,Estou nervosa.
2624,I'm nervous.,Eu estou nervoso.
2625,I'm neutral.,Eu sou neutro.
2626,I'm no fool.,Eu não sou idiota.
2627,I'm no fool.,Não sou idiota.
2628,I'm no liar.,Eu não sou mentiroso.
2629,I'm no liar.,Não sou mentiroso.
2630,I'm not Tom.,Eu não sou o Tom.
2631,I'm not fat.,Eu não sou gorda.
2632,I'm not mad.,Eu não sou louco.
2633,I'm not old.,Eu não sou velho.
2634,I'm not shy.,Não sou tímido.
2635,I'm not you.,Eu não sou você.
2636,I'm not you.,Não sou você.
2637,I'm packing.,Estou fazendo as malas.
2638,I'm popular.,Eu sou popular.
2639,I'm prudent.,Sou prudente.
2640,I'm prudent.,Eu sou prudente.
2641,I'm puzzled.,Estou intrigado.
2642,I'm puzzled.,Eu estou intrigado.
2643,I'm relaxed.,Estou relaxado.
2644,I'm relaxed.,Estou relaxada.
2645,I'm resting.,Estou descansando.
2646,I'm retired.,Estou aposentado.
2647,I'm retired.,Sou aposentado.
2648,I'm retired.,Eu estou aposentado.
2649,I'm selfish.,Eu sou egoísta.
2650,I'm serious.,Estou falando sério.
2651,I'm serious.,Eu estou falando sério.
2652,I'm shocked.,Eu estou chocado.
2653,I'm sincere.,Eu sou sincero.
2654,I'm so full.,Estou tão cheio.
2655,I'm so glad.,Estou tão feliz.
2656,I'm special.,Eu sou especial.
2657,I'm starved.,Estou morto de fome.
2658,I'm staying.,Eu fico.
2659,I'm strange.,Sou estranho.
2660,I'm strange.,Estou estranho.
2661,I'm stuffed!,Estou cheio!
2662,I'm stuffed!,Estou cheia!
2663,I'm stuffed.,Estou cheio.
2664,I'm stuffed.,Estou cheia.
2665,I'm stunned.,Eu estou pasmado.
2666,I'm the law.,Eu sou a lei!
2667,I'm thirsty.,Estou com sede.
2668,I'm thirsty.,Tenho sede.
2669,I'm thirsty.,Estou sedento.
2670,I'm through.,Terminei.
2671,I'm through.,Acabei.
2672,I'm too fat.,Eu sou gordo demais.
2673,I'm trapped.,Estou preso.
2674,I'm trapped.,Eu estou presa.
2675,I'm unhappy.,Eu sou infeliz.
2676,I'm up here.,Estou aqui em cima!
2677,I'm useless.,Eu sou inútil.
2678,I'm waiting.,Eu estou esperando.
2679,I'm waiting.,Estou esperando.
2680,I'm wealthy.,Eu sou rico.
2681,I'm winning.,Estou vencendo.
2682,I'm winning.,Estou ganhando.
2683,I'm working.,Eu estou trabalhando.
2684,I'm working.,Estou trabalhando.
2685,I'm worried.,Estou preocupada.
2686,I'm worried.,Ando preocupado.
2687,I've failed.,Eu fracassei.
2688,Ignore that.,Ignore isso.
2689,Ignore that.,Ignore-o.
2690,Ignore that.,Ignore.
2691,Ignore them.,Ignore-os.
2692,Ignore them.,Ignore-as.
2693,Ignore them.,Ignorem-nos.
2694,Ignore them.,Ignorem-nas.
2695,Is Tom busy?,Tom está ocupado?
2696,Is Tom good?,Tom é bom?
2697,Is Tom here?,Tom está aqui?
2698,Is Tom lost?,O Tom está perdido?
2699,Is Tom safe?,O Tom está seguro?
2700,Is Tom sick?,O Tom está doente?
2701,Is Tom tall?,O Tom é alto?
2702,Is he right?,Ele está certo?
2703,Is he right?,Será que ele está certo?
2704,Is it Tom's?,Isso é do Tom?
2705,Is it Tom's?,É do Tom?
2706,Is it clean?,Está limpo?
2707,Is it clear?,Está claro?
2708,Is it dirty?,Isso está sujo?
2709,Is it dirty?,Está sujo?
2710,Is it rainy?,O tempo está chuvoso?
2711,Is it ready?,Está pronto?
2712,Is it rough?,É áspero?
2713,Is it tasty?,É gostoso?
2714,Is it there?,Está aí?
2715,Is it there?,Está lá?
2716,Is it to go?,Pra viagem?
2717,Is it to go?,É para levar?
2718,Is it white?,É branco?
2719,Is it windy?,Está ventando?
2720,Is it yours?,É seu?
2721,Is it yours?,É teu?
2722,Is it yours?,Isso é seu?
2723,Is she nice?,Ela é agradável?
2724,Is that Tom?,Aquele é o Tom?
2725,Is that Tom?,É o Tom?
2726,Is that all?,Isso é tudo?
2727,Is that all?,É tudo?
2728,Is that you?,É você?
2729,Is this Tom?,Este é Tom?
2730,Is this art?,Isto é arte?
2731,It can't be!,Não pode ser!
2732,It can't be!,Mentira!
2733,It can't be!,Impossível!
2734,It can't be!,Não é possível!
2735,It happened.,Aconteceu.
2736,It is dusty.,Está empoeirado.
2737,It is there.,É lá.
2738,It may rain.,Pode chover.
2739,It may rain.,Pode ser que chova.
2740,It may rain.,Talvez chova.
2741,It may snow.,Pode nevar.
2742,It saved me.,Ele me salvou.
2743,It suits me.,Isso me serve bem.
2744,It suits me.,Fica-me bem.
2745,It was cold.,Estava frio.
2746,It was cool.,Foi legal.
2747,It was dark.,Estava escuro.
2748,It was fair.,Aquilo foi justo.
2749,It was here.,Estava aqui.
2750,It was mine.,Era meu.
2751,It was nice.,Foi legal.
2752,It'd be bad.,Isso seria ruim.
2753,It'll be OK.,Vai ficar tudo bem.
2754,It's 50 yen.,Custa 50 ienes.
2755,It's Monday.,É segunda.
2756,It's Monday.,É segunda-feira.
2757,It's a date.,É um encontro.
2758,It's a doll.,É uma boneca.
2759,It's a fake.,É uma imitação.
2760,It's a fish.,Isto é um peixe.
2761,It's a gift.,É um presente.
2762,It's a pity.,É uma pena.
2763,It's a pity.,Uma pena.
2764,It's a trap.,É uma emboscada.
2765,It's a vice.,É um vício.
2766,It's broken.,Está quebrado.
2767,It's cloudy.,Está nublado.
2768,It's for me.,Isso é para mim.
2769,It's for me.,É para mim.
2770,It's locked.,Está trancado.
2771,It's my bus.,É o meu ônibus.
2772,It's my job.,É o meu trabalho.
2773,It's not so.,Não é assim.
2774,It's not us.,Não somos nós.
2775,It's poison.,É veneno.
2776,It's secret.,É segredo.
2777,It's simple.,É simples.
2778,It's so big.,É tão grande!
2779,It's so big.,Isso é tão grande!
2780,It's so big.,É muito grande!
2781,It's so sad.,É tão triste.
2782,It's spring.,É primavera.
2783,It's stupid.,Isso é estúpido!
2784,It's stupid.,Ele é estúpido.
2785,It's urgent.,É urgente!
2786,Keep moving.,Continue andando.
2787,Keep moving.,Continue se mexendo.
2788,Keep trying.,Continue tentando.
2789,Let Tom win.,Deixe o Tom vencer.
2790,Let Tom win.,Deixe Tom vencer.
2791,Let me help.,Deixe-me ajudar.
2792,Let me rest.,Deixa-me descansar.
2793,Let me rest.,Deixe-me descansar.
2794,Let me rest.,Deixem-me descansar.
2795,Let me sing.,Deixe-me cantar.
2796,Let me swim.,Deixe-me nadar.
2797,Let us help.,Deixe-nos ajudar.
2798,Let's begin.,Vamos começar.
2799,Let's begin.,Comecemos!
2800,Let's dance.,Dancemos.
2801,Let's hurry.,Vamos nos apressar.
2802,Let's hurry.,Apressemo-nos.
2803,Let's hurry.,Devemos nos apressar.
2804,Let's leave.,Vamos embora.
2805,Let's party!,Vamos festejar!
2806,Let's relax.,Relaxemos.
2807,Let's split.,Vamos dividir.
2808,Let's start!,Vamos começar.
2809,Let's start!,Comecemos!
2810,Let's start.,Vamos começar.
2811,Life is fun.,A vida é divertida.
2812,Life's good.,A vida é boa.
2813,Look around.,Olhe ao seu redor.
2814,Look around.,Dá uma olhada em volta!
2815,Look at him.,Olhe para ele.
2816,Look closer.,Olhe mais de perto.
2817,Look closer.,Olhem mais de perto.
2818,Look for it.,Procura.
2819,Look for it.,Procure.
2820,Make a list.,Façam uma lista.
2821,Make a wish.,Faça um desejo.
2822,Many thanks.,Muito obrigado!
2823,Many thanks.,Muito obrigada!
2824,May I begin?,Posso começar?
2825,May I smoke?,Posso fumar?
2826,Memorize it.,Memorize.
2827,Money talks.,O dinheiro é rei.
2828,Money talks.,O dinheiro fala mais alto.
2829,Money talks.,O dinheiro manda.
2830,Nice timing.,Na mosca!
2831,No means no.,Não quer dizer não.
2832,No one came.,Ninguém veio.
2833,No one died.,Ninguém morreu.
2834,Nobody came.,Ninguém veio.
2835,Nobody came.,Não veio ninguém.
2836,Nobody died.,Ninguém morreu.
2837,Nobody lied.,Ninguém mentiu.
2838,Now I'm sad.,Agora estou triste.
2839,Now I'm sad.,Agora sou triste.
2840,Now get out.,"Agora, caia fora."
2841,Now go home.,Agora vá para casa.
2842,Now you try.,Agora tente você.
2843,"OK, you win.","OK, você venceu."
2844,"OK, you win.","OK, tu venceste."
2845,"OK, you win.","OK, vencestes."
2846,"OK, you win.","OK, venceste."
2847,"OK, you win.","OK, vós vencestes."
2848,"OK, you win.","OK, venceram."
2849,"OK, you win.","OK, vocês venceram."
2850,"OK, you win.","OK, venceu."
2851,"OK, you win.","OK, o senhor venceu."
2852,"OK, you win.","OK, a senhora venceu."
2853,"OK, you win.","OK, os senhores venceram."
2854,"OK, you win.","OK, as senhoras venceram."
2855,"Oh, come on.","Ah, vamos."
2856,One is blue.,Um é azul.
2857,One is blue.,Uma é azul.
2858,Pick a card.,Escolha uma carta.
2859,Pick him up.,Pegue-o.
2860,Plants grow.,As plantas crescem.
2861,Please come.,"Venha, por favor."
2862,Please come.,"Vem, por favor."
2863,Please come.,"Venham, por favor."
2864,Please sing.,"Cante, por favor!"
2865,Please sing.,"Cantem, por favor."
2866,Please sing.,"Por favor, cante."
2867,Please stay.,"Por favor, fique."
2868,Please stay.,"Fique, por favor."
2869,Please stop.,"Pare, por favor."
2870,Please stop.,"Por favor, pare."
2871,Please wait.,"Por favor, espere."
2872,Please wait.,"Espere, por favor."
2873,Pray for me.,Reze por mim.
2874,Pray for me.,Rezem por mim.
2875,Put it down.,Solta isso!
2876,Release Tom.,Solte o Tom.
2877,Release him.,Liberte-o.
2878,Remember it.,Lembre disso.
2879,Say goodbye.,Diga adeus!
2880,Settle down!,Acalme-se!
2881,She bit him.,Ela o mordeu.
2882,She blushed.,Ela corou.
2883,She hit him.,Ela bateu nele.
2884,She is dead.,Ela está morta.
2885,She is lazy.,Ela é preguiçosa.
2886,She is nice.,Ela é legal.
2887,She is nice.,Ela é gentil.
2888,She is nice.,Ela é simpática.
2889,She is nice.,Ela é gente boa.
2890,She is nice.,Ela é gente fina.
2891,She slipped.,Ela escorregou.
2892,She woke up.,Ela acordou.
2893,She's a fox.,Ela é uma gata!
2894,She's happy.,Ela está feliz.
2895,She's happy.,Ela é feliz.
2896,Should I go?,Devo ir?
2897,Show him in.,Mande-o entrar.
2898,Show him in.,Faça-o entrar.
2899,Shut it off.,Desligue-o!
2900,Shut it off.,Desligue-a!
2901,Sit with me.,Sente-se comigo.
2902,Sleep tight.,Durma bem.
2903,Stand aside!,Afaste-se!
2904,Stand aside.,Afaste-se!
2905,Stand still!,Fique parado!
2906,Stand still!,Fique parada!
2907,Start again.,Comece de novo.
2908,Start again.,Começa de novo.
2909,Start again.,Comecem de novo.
2910,Step inside.,Dê um passo adentro.
2911,Stop crying.,Pare de chorar.
2912,Stop crying.,Parem de chorar.
2913,Stop moving!,Pare de se mexer.
2914,Stop moving!,Parem de se mexer.
2915,Stop moving!,Para de se mexer!
2916,Stop moving.,Pare de se mexer.
2917,Stop moving.,Parem de se mexer.
2918,Stop trying.,Pare de tentar.
2919,Stop trying.,Parem de tentar.
2920,Take a look.,Olhe.
2921,Take a look.,Dê uma olhada.
2922,Take a look.,Olha.
2923,Take a rest.,Descansem.
2924,Take a rest.,Descanse.
2925,Take a seat.,Sente-se!
2926,Take a seat.,Sente-se.
2927,Take a seat.,Senta-te.
2928,Take action.,Tome uma atitude.
2929,Take action.,Tomem uma atitude.
2930,Take it all.,Leve tudo.
2931,Talk slower.,Fale mais devagar.
2932,Talk to Tom.,Conversa com o Tom.
2933,"Tea, please.","Chá, por favor."
2934,That helped.,Isso ajudou.
2935,That is all.,Isso é tudo.
2936,That worked.,Aquilo funcionou.
2937,That's cool.,Isso é legal.
2938,That's fair.,É justo.
2939,That's fine.,Está bem.
2940,That's free.,É de graça.
2941,That's good.,Isso é bom.
2942,That's hers.,É dela.
2943,That's icky.,Isso é desagradável.
2944,That's life.,É a vida.
2945,That's mine.,Isso é meu.
2946,That's mine.,É meu.
2947,That's mine.,É minha.
2948,That's mine.,Essa é minha.
2949,That's okay.,Está ok.
2950,That's over.,Acabou.
2951,That's true.,É verdade.
2952,That's true.,Isso é verdade.
2953,That's true.,Isso é verídico.
2954,The TV's on.,A televisão está ligada.
2955,There he is.,Lá vem ele.
2956,There it is!,Aqui está!
2957,There it is.,Aqui está.
2958,There's Tom.,Ali está o Tom.
2959,They called.,Eles ligaram.
2960,They called.,Elas ligaram.
2961,They called.,Ligaram.
2962,They danced.,Eles dançaram.
2963,They danced.,Elas dançaram.
2964,They danced.,Dançaram.
2965,They hugged.,Eles se abraçaram.
2966,They hugged.,Elas se abraçaram.
2967,They kissed.,Eles se beijaram.
2968,They obeyed.,Eles obedeceram.
2969,They saw me.,Eles me viram.
2970,They smiled.,Eles sorriram.
2971,They waited.,Eles esperaram.
2972,They waited.,Esperaram.
2973,They walked.,Eles caminharam.
2974,They walked.,Elas caminharam.
2975,They walked.,Caminharam.
2976,They yelled.,Eles gritaram.
2977,They're bad.,Eles são ruins.
2978,They're fat.,Eles estão gordos.
2979,They're new.,Eles são novos.
2980,They're old.,Eles são velhos.
2981,Think again.,Pense de novo.
2982,Think again.,Pensa de novo.
2983,This is Tom.,Esse é o Tom.
2984,This is big.,Isto é grande.
2985,This is his.,Isto é dele.
2986,This is new.,Isso é novo.
2987,This is new.,Isso está novo.
2988,This stinks.,Isto fede.
2989,Tom arrived.,Tom chegou.
2990,Tom blinked.,Tom piscou.
2991,Tom blushed.,Tom morreu de vergonha.
2992,Tom can win.,Tom pode ganhar.
2993,Tom changed.,Tom mudou?
2994,Tom cheated.,O Tom trapaceou.
2995,Tom cheered.,Tom aplaudiu.
2996,Tom clapped.,Tom aplaudiu.
2997,Tom coughed.,Tom tossiu.
2998,Tom crashed.,Tom sofreu um acidente.
2999,Tom cringed.,Tom se encolheu.
3000,Tom decided.,Tom decidiu.
3001,Tom drowned.,Tom se afogou.
3002,Tom escaped.,Tom escapou.
3003,Tom exhaled.,Tom exalou.
3004,Tom fainted.,Tom desmaiou.
3005,Tom frowned.,Tom franziu a testa.
3006,Tom gave up.,Tom desistiu.
3007,Tom giggled.,Tom deu uma risadinha.
3008,Tom got fat.,Tom engordou.
3009,Tom got mad.,Tom ficou furioso.
3010,Tom grinned.,Tom sorriu forçadamente.
3011,Tom groaned.,Tom gemeu.
3012,Tom grunted.,Tom resmungou.
3013,Tom grunted.,Tom grunhiu.
3014,Tom had fun.,Tom se divertiu.
3015,Tom has OCD.,Tom tem TOC.
3016,Tom hurt me.,Tom me machucou.
3017,Tom inhaled.,Tom inalou.
3018,Tom is bald.,O Tom é careca.
3019,Tom is bold.,Tom é ousado.
3020,Tom is busy.,Tom está ocupado.
3021,Tom is calm.,Tom é calmo.
3022,Tom is calm.,Tom está calmo.
3023,Tom is deaf.,O Tom é surdo.
3024,Tom is deaf.,Tom é surdo.
3025,Tom is fair.,Tom é justo.
3026,Tom is fine.,O Tom está bem.
3027,Tom is free.,Tom está livre.
3028,Tom is gone.,Tom se foi.
3029,Tom is here.,Tom está aqui.
3030,Tom is home.,Tom está em casa.
3031,Tom is hurt.,Tom está ferido.
3032,Tom is hurt.,Tom está machucado.
3033,Tom is last.,Tom é o último.
3034,Tom is late.,O Tom está atrasado.
3035,Tom is lazy.,Tom é preguiçoso.
3036,Tom is neat.,Tom é legal.
3037,Tom is next.,Tom é o próximo.
3038,Tom is nosy.,Tom é intrometido.
3039,Tom is numb.,Tom é insensível.
3040,Tom is nuts.,Tom está biruta.
3041,Tom is nuts.,Tom está com um parafuso solto.
3042,Tom is nuts.,Tom tem um parafuso solto.
3043,Tom is pale.,Tom está pálido.
3044,Tom is rich.,Tom é rico.
3045,Tom is rich.,Tom está rico.
3046,Tom is safe.,Tom está seguro.
3047,Tom is sexy.,Tom é sexy.
3048,Tom is sick.,Tom está doente.
3049,Tom is slow.,Tom é lento.
3050,Tom is thin.,Tom é magro.
3051,Tom is ugly.,Tom é feio.
3052,Tom is wary.,Tom está desconfiado.
3053,Tom is weak.,Tom é fraco.
3054,Tom is weak.,Tom está fraco.
3055,Tom is wise.,Tom é sábio.
3056,Tom kneeled.,Tom se ajoelhou.
3057,Tom knew it.,Tom sabia.
3058,Tom laughed.,Tom riu.
3059,Tom listens.,Tom escuta.
3060,Tom noticed.,Tom notou.
3061,Tom paid me.,Tom me pagou.
3062,Tom prepaid.,Tom preparou.
3063,Tom refused.,Tom recusou.
3064,Tom relaxed.,Tom relaxou.
3065,Tom retired.,Tom se aposentou.
3066,Tom said no.,Tom disse não.
3067,Tom saw you.,Tom te viu.
3068,Tom slipped.,Tom escorregou.
3069,Tom sneezed.,Tom espirrou.
3070,Tom stopped.,O Tom parou.
3071,Tom stopped.,Tom parou.
3072,Tom sweated.,Tom suava.
3073,Tom teaches.,Tom ensina.
3074,Tom told me.,Tom me disse.
3075,Tom told us.,Tom nos disse.
3076,Tom told us.,Tom nos contou.
3077,Tom took it.,O Tom pegou.
3078,Tom tripped.,Tom disparou.
3079,Tom vomited.,O Tom vomitou.
3080,Tom was hit.,Tom foi atingido.
3081,Tom was old.,Tom era velho.
3082,Tom was old.,Tom era idoso.
3083,Tom was sad.,O Tom estava triste.
3084,Tom was wet.,Tom estava molhado.
3085,Tom will go.,Tom irá.
3086,Tom woke up.,Tom acordou.
3087,Tom'll call.,Tom irá ligar.
3088,Tom'll come.,Tom virá.
3089,Tom'll come.,Tom vai vir.
3090,Tom'll help.,Tom ajudará.
3091,Tom'll know.,Tom vai saber.
3092,Tom'll lose.,Tom vai perder.
3093,Tom'll stay.,Tom vai ficar.
3094,Tom'll talk.,Tom irá falar.
3095,Tom'll talk.,Tom vai falar.
3096,Tom'll talk.,Tom falará.
3097,Tom'll wait.,Tom vai esperar.
3098,Tom's alive.,Tom está vivo.
3099,Tom's alone.,Tom está sozinho.
3100,Tom's angry.,Tom está nervoso.
3101,Tom's angry.,Tom está com raiva.
3102,Tom's awake.,O Tom está acordado.
3103,Tom's bored.,Tom está entediado.
3104,Tom's crazy.,O Tom é louco.
3105,Tom's dying.,Tom está morrendo.
3106,Tom's early.,Tom está adiantado.
3107,Tom's early.,O Tom está adiantado.
3108,Tom's funny.,Tom é engraçado.
3109,Tom's happy.,Tom está feliz.
3110,Tom's happy.,Tom é feliz.
3111,Tom's lying.,Tom está mentindo.
3112,Tom's older.,Tom é mais velho.
3113,Tom's pushy.,Tom é insistente.
3114,Tom's right.,Tom tem razão.
3115,Tom's smart.,Tom é inteligente.
3116,Tom's tired.,O Tom está cansado.
3117,Tom's tired.,Tom está cansado.
3118,Tom's upset.,O Tom está triste.
3119,Tom's weird.,O Tom está estranho.
3120,Tom's wrong.,O Tom está errado.
3121,Tom's young.,O Tom está jovem.
3122,Tom's young.,O Tom é jovem.
3123,Trust in me.,Confie em mim.
3124,Trust in me.,Confia em mim.
3125,Try to rest.,Tente descansar.
3126,Turn around.,Dê uma volta.
3127,Turn it off.,Desliga-o.
3128,Turn it off.,Desligue-o.
3129,Turn it off.,Desligue.
3130,Turn on CNN.,Ligue na CNN!
3131,Vote for me!,Vote em mim!
3132,Vote for me!,Vote a meu favor!
3133,Walk slowly.,Ande devagar!
3134,War is evil.,A guerra é má.
3135,War is evil.,A guerra é ruim.
3136,War is hell.,A guerra é um inferno.
3137,Was I wrong?,Eu estava errado?
3138,Was it cold?,Era frio?
3139,Was it cold?,Estava frio?
3140,Was it cold?,Estava fazendo frio?
3141,Was it good?,Estava bom?
3142,We all know.,Todos nós sabemos.
3143,We all quit.,Nós todos saímos.
3144,We all quit.,Fomos todos embora.
3145,We are free!,Estamos livres!
3146,We are free!,Somos livres!
3147,We are here.,Nós estamos aqui.
3148,We are sick.,Nós estamos doentes.
3149,We broke up.,Nós terminamos.
3150,We can help.,Podemos ajudar.
3151,We can swim.,Nós sabemos nadar.
3152,We can swim.,A gente sabe nadar.
3153,We can swim.,Sabemos nadar.
3154,We can't go.,Nós não podemos ir.
3155,We feel bad.,Nos sentimos mal.
3156,We found it.,Nós encontramos.
3157,We got lost.,Enganámo-nos no caminho.
3158,We got sick.,Ficamos doentes.
3159,We got sick.,Tivemos doentes.
3160,We hate Tom.,Nós odiamos Tom.
3161,We hurt Tom.,Machucamos Tom.
3162,We hurt Tom.,Nós machucamos Tom.
3163,We just met.,Acabamos de nos conhecer.
3164,We know Tom.,Nós conhecemos Tom.
3165,We know him.,Nós conhecemos ele.
3166,We know him.,Conhecemos ele.
3167,We know him.,A gente o conhece.
3168,We know him.,A gente conhece ele.
3169,We know him.,Nós o conhecemos.
3170,We know why.,Sabemos por quê.
3171,We know why.,Nós sabemos por quê.
3172,We know why.,Nós sabemos o porquê.
3173,We know you.,Nós te conhecemos.
3174,We know you.,Nós conhecemos você.
3175,We know you.,Nós conhecemos vocês.
3176,We like Tom.,Nós gostamos do Tom.
3177,We like Tom.,Gostamos do Tom.
3178,We love Tom.,Nós amamos o Tom.
3179,We love you.,Nós te amamos.
3180,We might go.,Nós podemos ir.
3181,We miss Tom.,Nós sentimos saudades do Tom.
3182,We miss Tom.,Sentimos saudades do Tom.
3183,We miss you.,Nós sentimos saudades de você.
3184,We miss you.,"Sentimos saudades de você,"
3185,We miss you.,Nós estamos com saudade de você.
3186,We miss you.,Estamos com saudade de você.
3187,We must act.,Nós precisamos agir.
3188,We must try.,Devemos tentar.
3189,We need Tom.,Nós precisamos do Tom.
3190,We need Tom.,Precisamos do Tom.
